cursor,owner,name,repoUrl,clients,prUrl,title,number,state,draft,files,javaFiles,baseRepo,baseRef,baseRefPrefix,headRepo,headRef,headRefPrefix,createdAt,publishedAt,mergedAt,closedAt
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9333,[ISSUE #8694] Support prometheus http service discovery,9333,OPEN,false,14,6,alibaba/nacos,develop,refs/heads/,karsonto/nacos,develop-http-sd,refs/heads/,2022-10-16,2022-10-16,,
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9042,[ISSUE #8458] Support capability negotiation,9042,OPEN,false,49,47,alibaba/nacos,asoc2022_issue#8458,refs/heads/,Daydreamer-ia/nacos,asoc2022_issue#8458,refs/heads/,2022-08-28,2022-08-28,,
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/7518,sync to istio. instance port customize,7518,OPEN,false,1,1,alibaba/nacos,develop,refs/heads/,siaron/nacos,develop#7268,refs/heads/,2021-12-29,2021-12-29,,
Y3Vyc29yOjM4,alibaba,canal,https://github.com/alibaba/canal,7361,https://github.com/alibaba/canal/pull/4477,修复 CanalController 和 ServerRunningMonitor stop 方法,4477,OPEN,false,2,2,alibaba/canal,master,refs/heads/,hua74ni/canal-fix-221103,master,refs/heads/,2022-11-03,2022-11-03,,
Y3Vyc29yOjM4,alibaba,canal,https://github.com/alibaba/canal,7361,https://github.com/alibaba/canal/pull/4472,局部变量线程安全，优先使用StringBuilder替换StringBuffer,4472,OPEN,false,4,4,alibaba/canal,master,refs/heads/,HumanPassenger/canal,master,refs/heads/,2022-10-31,2022-10-31,,
Y3Vyc29yOjM4,alibaba,canal,https://github.com/alibaba/canal,7361,https://github.com/alibaba/canal/pull/4470,optimize code,4470,OPEN,false,1,1,alibaba/canal,master,refs/heads/,arthasking123/canal,master,refs/heads/,2022-10-28,2022-10-28,,
Y3Vyc29yOjM4,alibaba,canal,https://github.com/alibaba/canal,7361,https://github.com/alibaba/canal/pull/4062,解决ClickHouse物化视图导入数据json适配问题v2.0,4062,OPEN,false,5,4,alibaba/canal,master,refs/heads/,King-Run/canal,master,refs/heads/,2022-02-13,2022-02-13,,
Y3Vyc29yOjM4,alibaba,canal,https://github.com/alibaba/canal,7361,https://github.com/alibaba/canal/pull/2832,只过滤真正发生变化的字段,2832,OPEN,false,8,4,alibaba/canal,master,refs/heads/,8btc-OnePiece/canal,community_pr_master,refs/heads/,2020-06-23,2020-06-23,,
Y3Vyc29yOjQx,alibaba,spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,81551,https://github.com/alibaba/spring-cloud-alibaba/pull/2904,Refactor NacosWatch and support zuul in 2.2.x,2904,OPEN,false,7,5,alibaba/spring-cloud-alibaba,2.2.x,refs/heads/,ruansheng8/spring-cloud-alibaba,feature-nacosWatch-2.2.x,refs/heads/,2022-11-11,2022-11-11,,
Y3Vyc29yOjQx,alibaba,spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,81551,https://github.com/alibaba/spring-cloud-alibaba/pull/2903,feat(nacos): nacos support hostname,2903,OPEN,false,1,1,alibaba/spring-cloud-alibaba,2021.x,refs/heads/,jackxu2011/spring-cloud-alibaba,feat-2021.x-nacos-support-hostname,refs/heads/,2022-11-11,2022-11-11,,
Y3Vyc29yOjQx,alibaba,spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,81551,https://github.com/alibaba/spring-cloud-alibaba/pull/2883,#2882 fix SecretKey leakage risk,2883,OPEN,false,1,1,alibaba/spring-cloud-alibaba,2021.x,refs/heads/,panzhi33/spring-cloud-alibaba,2021.x,refs/heads/,2022-11-02,2022-11-02,,
Y3Vyc29yOjQx,alibaba,spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,81551,https://github.com/alibaba/spring-cloud-alibaba/pull/2875,#2862 improve seata beanPostProcessor order,2875,OPEN,false,1,1,alibaba/spring-cloud-alibaba,2021.x,refs/heads/,zhuangzhuangdashen/spring-cloud-alibaba,master,refs/heads/,2022-10-31,2022-10-31,,
Y3Vyc29yOjQx,alibaba,spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,81551,https://github.com/alibaba/spring-cloud-alibaba/pull/2734,Sentinel integration tests,2734,OPEN,false,10,4,alibaba/spring-cloud-alibaba,2021.x,refs/heads/,DanielLiu1123/spring-cloud-alibaba,sentinel-integration-tests,refs/heads/,2022-08-29,2022-08-29,,
Y3Vyc29yOjQx,alibaba,spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,81551,https://github.com/alibaba/spring-cloud-alibaba/pull/2699,refactor RocketMQProduceFactory: reuse producer,2699,OPEN,false,2,2,alibaba/spring-cloud-alibaba,2.2.x,refs/heads/,LeBW/spring-cloud-alibaba,2.2.x-feature-rocketmq,refs/heads/,2022-08-08,2022-08-08,,
Y3Vyc29yOjQx,alibaba,spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,81551,https://github.com/alibaba/spring-cloud-alibaba/pull/1946,optimize: alibaba-seata: Transfer XID using `feign.RequestInterceptor`,1946,OPEN,false,11,11,alibaba/spring-cloud-alibaba,2.2.x,refs/heads/,wangliang181230/spring-cloud-alibaba,optimize-seata-transmit-xid,refs/heads/,2021-01-26,2021-01-26,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/5070,feature: support http put,5070,OPEN,false,2,2,seata/seata,develop,refs/heads/,zsp419/seata,feature_support_http_put,refs/heads/,2022-11-09,2022-11-09,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/5052,bugfix: update join condition placeholder param error,5052,OPEN,false,7,5,seata/seata,develop,refs/heads/,renliangyu857/seata,bugfix_placeholder_in_joincondition_notconsidered,refs/heads/,2022-11-04,2022-11-04,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/5044,bugfix: error image when pk is auto increment and non unique in insert on duplicate executor,5044,OPEN,false,4,2,seata/seata,develop,refs/heads/,renliangyu857/seata,errorimage_when_pkautoandnonunique_insertondup,refs/heads/,2022-11-02,2022-11-02,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/5037,Improved code quality by refactoring as per sonar suggestions,5037,OPEN,false,18,18,seata/seata,develop,refs/heads/,NAG406/seata,fix/code_quality_2,refs/heads/,2022-10-29,2022-10-29,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/5036,fix(refactor) : Improved code quality by refactoring as per sonar suggestions,5036,OPEN,false,9,9,seata/seata,develop,refs/heads/,NAG406/seata,fix/code_quality,refs/heads/,2022-10-28,2022-10-28,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/5034,bugfix: support DataSourceXA using the same connection string,5034,OPEN,false,11,9,seata/seata,develop,refs/heads/,a364176773/seata,1028,refs/heads/,2022-10-28,2022-10-28,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/5032,bugfix: error placeholder index in insert on duplicate executor,5032,OPEN,false,3,1,seata/seata,develop,refs/heads/,renliangyu857/seata,bugfix_placeholderindexerror_in_insertondup,refs/heads/,2022-10-28,2022-10-28,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/5017,bugfix: the problem of type inconsistency caused by deserialization of BusinessActionContext,5017,OPEN,false,16,14,seata/seata,develop,refs/heads/,zw201913/seata,develop,refs/heads/,2022-10-24,2022-10-24,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/5009,"feature:support insert into...select sql for (mysql,postgresql,oracle)",5009,OPEN,false,16,16,seata/seata,develop,refs/heads/,renliangyu857/seata,feature_support_insertintoselect,refs/heads/,2022-10-21,2022-10-21,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4926,feature: seata-server support r2dbc,4926,OPEN,false,34,29,seata/seata,develop,refs/heads/,a364176773/seata,908,refs/heads/,2022-09-09,2022-09-09,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4907,optimize: thread scheduling and code and datasource,4907,OPEN,false,13,11,seata/seata,develop,refs/heads/,a364176773/seata,903,refs/heads/,2022-09-03,2022-09-03,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4894,feature: support tencent polaris discovery,4894,OPEN,false,41,23,seata/seata,develop,refs/heads/,misselvexu/seata,features/tencent-polaris-discovery,refs/heads/,2022-08-30,2022-08-30,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4858,optimize :  reorganize the usage of task session manager(add/remove/find/update),4858,OPEN,false,5,5,seata/seata,develop,refs/heads/,Bughue/seata,dev_session_manager,refs/heads/,2022-08-11,2022-08-11,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4825,feature: supports the OceanBase Oracle kernel in AT mode,4825,OPEN,false,47,37,seata/seata,develop,refs/heads/,hsien999/seata,feature_support_oceanbase,refs/heads/,2022-07-29,2022-07-29,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4681,optimize: lock priority attempts to insert,4681,OPEN,false,15,13,seata/seata,develop,refs/heads/,a364176773/seata,612,refs/heads/,2022-06-12,2022-06-12,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4644,optimize: solve spring and tcc dependency,4644,OPEN,false,75,64,seata/seata,develop,refs/heads/,sunrui1225/seata,feature_spring_tcc_dependency,refs/heads/,2022-05-26,2022-05-26,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4585,feature : skip list for undo data validation,4585,OPEN,false,4,4,seata/seata,develop,refs/heads/,Bughue/seata,dev-undo-dataValidation,refs/heads/,2022-05-06,2022-05-06,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4542,optimize: support oracle date types,4542,OPEN,false,3,3,seata/seata,develop,refs/heads/,doubleDimple/seata,support_oracle_dateTypes_4536,refs/heads/,2022-04-10,2022-04-10,,
Y3Vyc29yOjQ3,seata,seata,https://github.com/seata/seata,9693,https://github.com/seata/seata/pull/4527,Feature: save tcc action context to fencelog,4527,OPEN,false,19,17,seata/seata,develop,refs/heads/,pengten/seata,feature_save_appData_to_fencelog,refs/heads/,2022-04-06,2022-04-06,,
