"","owner","name","number"
"149298","apache","iotdb",7300
"149299","apache","iotdb",7281
"149528","apache","iotdb",7268
"149541","apache","iotdb",7263
"149542","apache","iotdb",7212
"149546","apache","iotdb",7171
"149715","apache","iotdb",7150
"149876","apache","iotdb",7120
"149881","apache","iotdb",7116
"150291","apache","iotdb",7098
"150292","apache","iotdb",7097
"150312","apache","iotdb",7094
"150338","apache","iotdb",7069
"150339","apache","iotdb",7055
"150340","apache","iotdb",7054
"150341","apache","iotdb",6940
"150345","apache","iotdb",6920
"150446","apache","iotdb",6884
"152134","apache","iotdb",6833
"155619","apache","iotdb",6747
"155644","apache","iotdb",6730
"155651","apache","iotdb",6688
"155725","apache","incubator-linkis",3624
"155733","apache","incubator-linkis",3620
"155734","apache","incubator-linkis",3613
"155861","apache","incubator-linkis",3605
"155874","apache","incubator-linkis",3564
"156403","apache","incubator-linkis",3557
"156421","apache","incubator-linkis",3551
"156430","apache","incubator-linkis",3550
"156431","apache","incubator-linkis",3457
"156434","assertj","assertj",2796
"156443","assertj","assertj",2794
"156479","assertj","assertj",2790
"156480","assertj","assertj",2787
"156481","assertj","assertj",2777
"156517","assertj","assertj",2776
"156521","assertj","assertj",2773
"158285","assertj","assertj",2772
"158286","assertj","assertj",2755
"158291","assertj","assertj",2753
"158516","assertj","assertj",2722
"158565","kiegroup","optaplanner",2244
"158595","LibrePDF","OpenPDF",834
"159619","LibrePDF","OpenPDF",831
"159683","LibrePDF","OpenPDF",823
"159692","LibrePDF","OpenPDF",815
"159708","LibrePDF","OpenPDF",814
"159717","LibrePDF","OpenPDF",794
"159721","apache","guacamole-client",768
"159947","apache","guacamole-client",767
"159948","apache","guacamole-client",761
"159952","apache","guacamole-client",752
"159958","gravitee-io","gravitee-api-management",2554
"159964","gravitee-io","gravitee-api-management",2522
"160535","gravitee-io","gravitee-api-management",2521
"160539","gravitee-io","gravitee-api-management",2518
"161323","gravitee-io","gravitee-api-management",2495
"164360","gravitee-io","gravitee-api-management",2491
"164376","gravitee-io","gravitee-api-management",2444
"164377","techa03","goodsKill",167
"164378","apache","zeppelin",4480
"164379","apache","zeppelin",4479
"164428","apache","zeppelin",4477
"164429","apache","zeppelin",4476
"164431","apache","zeppelin",4474
"164432","apache","zeppelin",4472
"164433","apache","zeppelin",4471
"164434","apache","zeppelin",4463
"164443","apache","zeppelin",4443
"164444","apache","zeppelin",4441
"164460","hcoles","pitest",1087
"164464","hcoles","pitest",1067
"164550","spring-cloud","spring-cloud-gateway",2750
"164632","spring-cloud","spring-cloud-gateway",2745
"164633","spring-cloud","spring-cloud-gateway",2733
"164634","spring-cloud","spring-cloud-gateway",2721
"164635","spring-cloud","spring-cloud-gateway",2702
"164636","spring-cloud","spring-cloud-gateway",2693
"164645","spring-cloud","spring-cloud-gateway",2671
"164646","spring-cloud","spring-cloud-gateway",2670
"164647","spring-cloud","spring-cloud-gateway",2669
"164648","spring-cloud","spring-cloud-gateway",2668
"164649","swagger-api","swagger-core",4262
"164881","swagger-api","swagger-core",4246
"164890","swagger-api","swagger-core",4221
"164907","swagger-api","swagger-core",4216
"164912","find-sec-bugs","find-sec-bugs",686
"164930","vladmihalcea","hibernate-types",493
"164934","vladmihalcea","hibernate-types",491
"164943","openmrs","openmrs-core",4115
"164952","jdbi","jdbi",2135
"164978","jdbi","jdbi",2134
"166136","jdbi","jdbi",2123
"166200","jdbi","jdbi",2110
"166345","jdbi","jdbi",2079
"166349","pmd","pmd",4151
"167310","pmd","pmd",4150
"167347","pmd","pmd",4147
"167351","pmd","pmd",4125
"167355","pmd","pmd",4110
"167356","pmd","pmd",4060
"171275","pmd","pmd",4059
"171686","pmd","pmd",4050
"172308","camunda","camunda-bpm-platform",2022
"172317","spring-cloud","spring-cloud-config",2176
"172321","spring-cloud","spring-cloud-config",2172
"172322","spring-cloud","spring-cloud-config",2171
"172347","spring-cloud","spring-cloud-config",2162
"172351","spring-cloud","spring-cloud-config",2140
"172376","spring-cloud","spring-cloud-config",2134
"172380","apache","drill",2655
"172776","apache","drill",2636
"172920","apache","drill",2599
"173496","apache","drill",2596
